"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274590029614047232","","","","","2012-11-30 19:05:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jetzt auch f?r Safari: http://t.co/4VJheCRE

?@qrios: Extension f?r Chrome: Leistungssch?tzer ausblenden http://t.co/wUaz7n8a #lsr?","http://www.stefanseiz.com/lsr/","http://qrios.de/2012/11/extension-fur-chrome-leistungsschutzer-ausblenden/"
"270995559609925632","","","","","2012-11-20 21:02:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Vielen Dank, liebe @YvonneSim f?r die tolle #Pl0gbar0711 Orga!"
"270927371614433282","","","","","2012-11-20 16:31:33 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Phantastisch! http://t.co/gacBQPnZ 
Via @ia","http://vimeo.com/51887079"
"270625646491860992","270620441343823872","4591101","","","2012-11-19 20:32:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@ste7130 Ne, quatsch."
"270619228539867137","270612186433458176","14510685","","","2012-11-19 20:07:06 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel ich versuche auch zu kommen."
"270616218124316672","270607917986758656","928881","","","2012-11-19 19:55:08 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@baranek Schei? cliffhanger ;)"
"270581504848039937","270573218060984321","14510685","","","2012-11-19 17:37:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel bei M?ller hatte ich Erfolg und hab mich ordentlich eingedeckt. Danke f?r den Tipp!"
"270573564397248512","270573218060984321","14510685","","","2012-11-19 17:05:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel Mist, kein wunder ;)"
"270568972271882240","270564631410536448","19582762","","","2012-11-19 16:47:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@YvonneSim und mich hatt er in die W?ste geschickt ;)"
"270564387574644736","","14510685","","","2012-11-19 16:29:11 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@erikschimmel komm grad aus dem Rewe. Nix mit 20% auf iTunez Karten. Bei Dir so?"
"270487199936573440","270486970348736513","12815","","","2012-11-19 11:22:28 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@vpieters It?s ?qwertz?"
